N|RUC|PROVEEDOR|MODALIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|DOMICILIO LEGAL|EMAIL|TELEFONO|ESTADOS CONTRATOS|FECHA ACTUALIZACION
80|20611374349|CONSORCIO SAN JUAN BAUTISTA|PRODUCTOS|LA LIBERTAD|TRUJILLO|TRUJILLO|130101|CENTRO POBLADO TRUJILLO - URBANIZACIÓN LA RINCONADA - CALLE LOS CEDROS MZA 50 LOTE 01, en el distrito de TRUJILLO, provincia de TRUJILLO, departamento de LA LIBERTAD,|COMPANIA.SALINASCORP@GMAIL.COM|971 027 772|ACTIVO|8/02/2024
81|20482425705|CASH FOODS S.R.L.|PRODUCTOS|CALLAO|CALLAO|VENTANILLA|070106|CALLAO / CALLAO / VENTANILLA - URBANIZACIÓN ZONA INDUSTRIAL - AVENIDA LOS PRECURSORES N° 502 Z.I.|CASHFOODS.LIMA@GMAIL.COM|444116167|ACTIVO|8/02/2024
82|20602673031|CONSORCIO SAN ISIDRO LABRADOR|PRODUCTOS|LA LIBERTAD|TRUJILLO|TRUJILLO|130101|CENTRO POBLADO TRUJILLO - URBANIZACIÓN LA RINCONADA - CALLE LOS CEDROS MZA 50A LOTE 15, en el distrito de TRUJILLO, provincia de TRUJILLO, departamento de LA LIBERTAD|BUSINESS.SALINASCORP@GMAIL.COM|933 267 782|ACTIVO|8/02/2024
83|20487710173|DULCEMANIA AUTOSERVICIOS S.R.L.|PRODUCTOS|LAMBAYEQUE|CHICLAYO|CHICLAYO|140101|DULCEMANIA.GERENCIA@GMAIL.COM|DULCEMANIA.GERENCIA@GMAIL.COM|917461969|ACTIVO|8/02/2024
84|20600041968|AGROMANA S.A.C|PRODUCTOS|LAMBAYEQUE|LAMBAYEQUE|LAMBAYEQUE|140301|LAMBAYEQUE / LAMBAYEQUE / LAMBAYEQUE - CARRETERA PANAMERICANA NORTE Km 778|AGROMANACIX@GMAIL.COM|948532340|ACTIVO|8/02/2024
85|20604311609|CONSORCIO GADIEL|PRODUCTOS|LIMA|LIMA|PUEBLO LIBRE|150121|CALLE SAN CARLOS, MZ. G, LOTES 03, 04, 05, 06, 07, 08, 59, 60, URB. ALAMEDA DE LA RIVERA, en el distrito de ATE, provincia de LIMA, departamento de LIMA,|ZAFIRO.QW@GMAIL.COM|986390261|ACTIVO|8/02/2024
86|20610945369|CONSORCIO PERU FOODS|PRODUCTOS|LIMA|CALLAO|CALLAO|070101|URBANIZACIÓN 1A ETAPA SANTA CRUZ - AVENIDA GRAU MZA C LOTE 20, en el distrito de CALLAO, provincia de CALLAO, departamento de CALLAO|ALIMENTOSBUENOSDELPERU@GMAIL.COM|15943505|ACTIVO|8/02/2024
87|20611030151|CONSORCIO GAIA|PRODUCTOS|LIMA|LIMA|ATE|150103|SEC. LA HUACA CARRET. A LIMA PARCELA N° 54 , en el distrito de HUARAL, provincia de HUARAL, departamento de LIMA|EMPRESARIALGAIA.LOGIC@GMAIL.COM|986390261|ACTIVO|8/02/2024
88|20482425705|CONSORCIO AMERICA FOODS|PRODUCTOS|LIMA|CALLAO|VENTANILLA|070106|URBANIZACIÓN ZONA INDUSTRIAL - AVENIDA LOS PRECURSORES N° 502 Z.I., en el distrito de VENTANILLA, provincia de CALLAO, departamento de CALLAO|CASHFOODS.LIMA@GMAIL.COM|444116167|ACTIVO|8/02/2024
89|20601812992|GROUP INVERSIONES JUDOGA EIRL|PRODUCTOS|LORETO|ALTO AMAZONAS|YURIMAGUAS|160201|LORETO / ALTO AMAZONAS / YURIMAGUAS - OTROS (especificar) VIA DE EVITAMIENTO N° S/N|"GP.INV.JUDOGA17@HOTMAIL.COM"|965668016|ACTIVO|8/02/2024
90|20604769745|CONSORCIO OMAGUA|PRODUCTOS|SAN MARTÍN|SAN MARTÍN|TARAPOTO|220901|JIRON AMERICA N° 258, en el distrito de TARAPOTO, provincia de SAN MARTIN, departamento de SAN MARTIN,|SIGMAQW2024@GMAIL.COM|951258117|ACTIVO|8/02/2024
91|20611657081|CONSORCIO GIAN|PRODUCTOS|LORETO|MAYNAS|IQUITOS|160101|CARRETERA IQUITOS NAUTA SECTOR KIARA KM. 2.5, en el distrito de SAN JUAN BAUTISTA, provincia de MAYNAS, departamento de LORETO|GRANINDUSTRIAALIMENTOS@GMAIL.COM|95716496|ACTIVO|8/02/2024
92|20610075798|CONSORCIO GRUPO MAYNAS|PRODUCTOS|LORETO|MAYNAS|PUNCHANA|160108|CALLE CAHUIDE Nº 589 P.J. MANUEL CLAVERO , en el distrito de PUNCHANA, provincia de MAYNAS, departamento de LORETO|GRUPOINCAWALK@GMAIL.COM|084 652759|ACTIVO|8/02/2024
93|20610322523|CONSORCIO VALEIVA|PRODUCTOS|LORETO|MAYNAS|IQUITOS|160101|n A.H. MUNICH CAL. MAYNAS MZ J LOTE 02-, en el distrito de IQUITOS, provincia de MAYNAS, departamento de LORETO,|GIVALHCO777@GMAIL.COM|986808448|ACTIVO|8/02/2024
94|20604769745|CONSORCIO YURI|PRODUCTOS|LORETO|MAYNAS|IQUITOS|160101|n A.H. MUNICH CAL. MAYNAS MZ J LOTE 02-, en el distrito de IQUITOS, provincia de MAYNAS, departamento de LORETO,|GIVALHCO777@GMAIL.COM|986808448|ACTIVO|8/02/2024
95|20610075798|CONSORCIO AMAZON|PRODUCTOS|LORETO|MAYNAS|PUNCHANA|160108|CALLE CAHUIDE Nº 589 P.J. MANUEL CLAVERO , en el distrito de WANCHAQ, provincia de CUSCO, departamento de CUSCO|GRUPOINCAWALK@GMAIL.COM|084 652759|ACTIVO|8/02/2024
96|20611229594|CONSORCIO CALLPA|PRODUCTOS|PIURA|PIURA|CASTILLA|200104|CENTRO POBLADO MIRAFLORES - URBANIZACIÓN SN - CALLE LOS JUNCOS N° 151 MZA E1 LOTE 30, en el distrito de CASTILLA, provincia de PIURA, departamento de PIURA|GRUPOCALLPAPERU@GMAIL.COM|73661938|ACTIVO|8/02/2024
97|20603569378|CONSORCIO INKASVALE EXPORT|PRODUCTOS|PIURA|PIURA|VEINTISEIS DE OCTUBRE|200115|CENTRO POBLADO A.H VILLA HERMOSA - FUNDO EX PREDIO COSCOMBA N° S/N MZA O LOTE S/N, en el distrito de VEINTISEIS DE OCTUBRE, provincia de PIURA, departamento de PIURA,|TRANSPORTESMIHEL@GMAIL.COM|969497165|ACTIVO|8/02/2024
98|20610637389|CONSORCIO GABY|PRODUCTOS|PIURA|PIURA|PIURA|200101|AVENIDA RAMON CASTILLA N° 240, en el distrito de CASTILLA, provincia de PIURA, departamento de PIURA|GRUPOAMEJO@GMAIL.COM|73660048|ACTIVO|8/02/2024
99|20610837400|CONSORCIO AZAIRUS|PRODUCTOS|PIURA|PIURA|CASTILLA|200104|ASOCIACIÓN CIVIL CASA HUERTO NUEVO AMANECER - CALLE LOS ROBLES MZA T LOTE 2, en el distrito de CASTILLA, provincia de PIURA, departamento de PIURA|0L.RESURFACELR@GMAIL.COM|973425508|ACTIVO|8/02/2024
100|20484279871|MOLINOS PIURANITO S.A.C.|PRODUCTOS|PIURA|PIURA|CATACAOS|200105|PIURA / PIURA / CATACAOS - OTROS (especificar) CARRETERA CATACAOS - LA UNIÓN Km 13|MOLINOSPIURANITO@GMAIL.COM|971239031|ACTIVO|8/02/2024
101|20610637389|CONSORCIO DMK|PRODUCTOS|PIURA|PIURA|CASTILLA|200104|AVENIDA RAMON CASTILLA N° 240, en el distrito de CASTILLA, provincia de PIURA, departamento de PIURA|GRUPOAMEJO@GMAIL.COM|73660048|ACTIVO|8/02/2024
102|20611450282|CONSORCIO AZUL|PRODUCTOS|PIURA|PIURA|PIURA|200101|URBANIZACIÓN SAN JOSE MZA LL LOTE 04, en el distrito de VEINTISEIS DE OCTUBRE, provincia de PIURA, departamento de PIURA|NNASSAU273@GMAIL.COM|996667575|ACTIVO|8/02/2024
103|20611060051|CONSORCIO LAS LOMAS|PRODUCTOS|PIURA|AYABACA|PAIMAS|200207|TUNEL VI - CARRETERA FRENTE CANAL QUIROZ, en el distrito de PAIMAS, provincia de AYABACA, departamento de PIURA|DISTRIBUCIONESMHY@GMAIL.COM|973483330|ACTIVO|8/02/2024
104|20611450282|CONSORCIO CORAL|PRODUCTOS|PIURA|PIURA|VEINTISEIS DE OCTUBRE|200115|URBANIZACIÓN SAN JOSE MZA LL LOTE 04, en el distrito de VEINTISEIS DE OCTUBRE, provincia de PIURA, departamento de PIURA|NNASSAU273@GMAIL.COM|996667575|ACTIVO|8/02/2024
105|20530317901|REPRESENTACIONES VIRGEN DE LAS NIEVES S.A.C.|PRODUCTOS|PIURA|PIURA|VEINTISEIS DE OCTUBRE|200115|PIURA / PIURA / VEINTISEIS DE OCTUBRE - ASOCIACIÓN UBIC. RUR.PREDIO ASOCIACIÓN SANTA LUCIA Lote 10 Sector COSCOMBA|GERENCIA1.VDN@GMAIL.COM|73616773|ACTIVO|8/02/2024
106|20611508426|CONSORCIO ALMACENES Y ALIMENTOS DEL NORTE|PRODUCTOS|PIURA|PIURA|PIURA|200101|FUNDO VICTORIA MZA C LOTE 09, en el distrito de MAGDALENA DEL MAR, provincia de LIMA, departamento de LIMA|EDYPGROUPSAC@GMAIL.COM|73340229|ACTIVO|8/02/2024
107|20484279871|CONSORCIO PIURANO|PRODUCTOS|PIURA|AYABACA|PAIMAS|200207|TUNEL VI - CARRETERA FRENTE CANAL QUIROZ, en el distrito de PAIMAS, provincia de AYABACA, departamento de PIURA|DISTRIBUCIONESMHY@GMAIL.COM|973483330|ACTIVO|8/02/2024
108|20610499466|CONSORCIO OLSUR|PRODUCTOS|PUNO|PUNO|PUNO|210101|BARRIO PORTEÑO - AVENIDA EL SOL N° 652, en el distrito de PUNO, provincia de PUNO, departamento de PUNO|EFRAIN.OPERADORES@GMAIL.COM|910094440|ACTIVO|8/02/2024
109|20406499562|ALIMENTOS PROCESADOS COILA S.A.C.|PRODUCTOS|PUNO|SAN ROMÁN|JULIACA|211101|PUNO / SAN ROMAN / JULIACA - URBANIZACIÓN SANTA MARIA - JIRON HUASCAR N° 1060|ALIPROCSAC@HOTMAIL.COM|51336599|ACTIVO|8/02/2024
110|20406544291|CONSORCIO NUTRITEC|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|URBANIZACION MUNICIPAL TAPARACHI MZA B LOTE 17B, en el distrito de JULIACA, provincia de SAN ROMAN, departamento de PUNO|NUTRITEC.EIRL@GMAIL.COM|951517792|ACTIVO|8/02/2024
111|20448860818|GRUPO MARKETING ALIMENTARIA S.A.C.|PRODUCTOS|PUNO|PUNO|PUNO|210101|PUNO / PUNO / PUNO - URBANIZACIÓN RINCONADA SALCEDO Mza P Lote 16|GMARKETINGASAC@GMAIL.COM|952034007|ACTIVO|8/02/2024
112|20601617022|CORPORACION BEGANX S.A.C.|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|PUNO / SAN ROMAN / JULIACA - URBANIZACIÓN SANTA ANA - JIRON NESTOR S. MOLINA Mza K Lote 12|BEGANXSAC@GMAIL.COM|951347445|ACTIVO|8/02/2024
113|20608434829|CONSORCIO NOVA|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|AV. CIRCUNVALACION N° 1189 , en el distrito de JULIACA, provincia de SAN ROMAN, departamento de PUNO|"CORPORACIONNOVAFLY@GMAIL.COM"|982919296|ACTIVO|8/02/2024
114|20447969531|CORPORACION GRANIX E.I.R.L.|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|PUNO / SAN ROMAN / JULIACA - URBANIZACIÓN APIRAJ - AVENIDA POLIGONO INDUSTRIAL Mza B Lote 1|CORPORACIONGRANIX@GMAIL.COM|952222794|ACTIVO|8/02/2024
115|20603500530|CONSORCIO GRUPO CORPALINSA|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|CENTRO POBLADO JULIACA - URBANIZACIÓN MARIA LUISA - AVENIDA CIRCUNVALACION N° 1189 MZA G1 LOTE 3, en el distrito de JULIACA, provincia de SAN ROMAN, departamento de PUNO|CORPALINSASRL@GMAIL.COM|966907011|ACTIVO|8/02/2024
116|20603741944|CONSORCIO GRUPO RB|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|URB TAPARACHI LOTE I33C - JULIACA, en el distrito de JULIACA, provincia de SAN ROMAN, departamento de PUNO|COMPANIA.ALIMENTICIA.2024@GMAIL.COM|957997546|ACTIVO|8/02/2024
117|10449466158|CONSORCIO ALIMENTOS NUTRITIVOS MG|PRODUCTOS|LIMA|LIMA|SAN MARTÍN DE PORRES|150135|OTROS APV 3 DE OCTUBRE MZA B LOTE 2, en el distrito de SAN MARTIN DE PORRES, provincia de LIMA, departamento de LIMA|EMERSON.COBETEX@GMAIL.COM|935083185|ACTIVO|8/02/2024
118|10447574271|CONSORCIO GRUPO EDEN FOODS|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|URBANIZACIÓN JORGE CHAVEZ - PASAJE WIRACOCHA N° 153, en el distrito de JULIACA, provincia de SAN ROMAN, departamento de PUNO|GRUPOEDENFOOD@GMAIL.COM|985223320|ACTIVO|8/02/2024
119|20606871253|CONSORCIO ILLARY ANDINA|PRODUCTOS|PUNO|AZANGARO|AZANGARO|210201|JR. POEMAS HUMANOS MZA. I LOTE 3 URB. ANEXO CESAR VALLEJO, en el distrito de JULIACA, provincia de SAN ROMAN, departamento de PUNO|INDUSTRIAS.AGROLEDOS@GMAIL.COM|988 416 784|ACTIVO|8/02/2024
120|20610500499|CONSORCIO ALTO MAYO|PRODUCTOS|SAN MARTÍN|SAN MARTÍN|MOYOBAMBA|220101|CENTRO POBLADO MOYOBAMBA - URBANIZACIÓN SN - JIRON ALONSO DE ALVARADO N° 601, en el distrito de MOYOBAMBA, provincia de MOYOBAMBA, departamento de SAN MARTIN,|WINWA.EIRL.2023@GMAIL.COM|967689855|ACTIVO|8/02/2024
121|20494056934|CONSORCIO KUSKA|PRODUCTOS|SAN MARTÍN|TOCACHE|ALMENDRAS|#N/A|CENTRO POBLADO ALMENDRAS - OTROS (ESPECIFICAR) ALMENDRAS - CARRETERA SECTOR ALMENDRAS N° S/N SECTOR ALMENDRAS, en el distrito de TOCACHE, provincia de TOCACHE, departamento de SAN MARTIN|GMISKYSONKO@GMAIL.COM|999213653|ACTIVO|8/02/2024
122|20611483865|CONSORCIO SANTA LUCIA|PRODUCTOS|HUANUCO|HUANUCO|HUANUCO|100101| JIRON ABTAO N° 1808, en el distrito de HUANUCO, provincia de HUANUCO, departamento de HUANUCO,|INDUSTRIADEALIMENTOSCHINCHAO@GMAIL.COM|925874965|ACTIVO|8/02/2024
123|20610473165|CONSORCIO LA HEROICA|PRODUCTOS|TACNA|TACNA|ALTO DE LA ALIANZA|230102|CENTRO POBLADO ALTO DE LA ALIANZA - CALLE 27 DE AGOSTO N° 1138, en el distrito de ALTO DE LA ALIANZA, provincia de TACNA, departamento de TACNA|DISTRIBUCIONESFASUE@HOTMAIL.COM|958866316|ACTIVO|8/02/2024
124|20611594951|CONSORCIO VIRGEN DE FATIMA|PRODUCTOS|UCAYALI|CORONEL PORTILLO|YARINACOCHA|250105|CALLE BALTA N° 113, en el distrito de YARINACOCHA, provincia de CORONEL PORTILLO, departamento de UCAYALI,|GARDEL.MURRIETA@GMAIL.COM|976489470|ACTIVO|8/02/2024
125|20602119891|CONSORCIO AGUAYTIA|PRODUCTOS|UCAYALI|PADRE ABAD|PADRE ABAD|250301|"CENTRO POBLADO AGUAYTIA - CENTRO POBLADO VILLA AGUAYTIA - JIRON VARGAS GUERRA MZA M2 LOTE 11, en el distrito de PADRE ABAD, provincia de PADRE ABAD,departamento de UCAYALI"|PARCHIS557@HOTMAIL.COM|61481095|ACTIVO|8/02/2024
126|10000697945|CONSORCIO LUZ Y VIDA|PRODUCTOS|UCAYALI|CORONEL PORTILLO|YARINACOCHA|250105|AVENIDA AV. YARINACOCHA MZA 167A LOTE 06, en el distrito de YARINACOCHA, provincia de CORONEL PORTILLO, departamento de UCAYALI|DILMAKS01@GMAIL.COM|61639378|ACTIVO|8/02/2024
127|20609132257|CONSORCIO SHIRAMBARI|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|JIRON CHINA N° 397, en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|COMPANIAJARED@HOTMAIL.COM|966682268|ACTIVO|8/02/2024
128|20606948949|CONSORCIO INAMBU|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|CENTRO POBLADO PAUCARBAMBA - JIRON COLONIAL N° 514, en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|MRFORCE2021@HOTMAIL.COM|915013685|ACTIVO|8/02/2024
129|20352372910|CONSORCIO AMAZONAS|PRODUCTOS|UCAYALI|CORONEL PORTILLO|CALLERÍA|250101|JIRON GUILLERMO SISLEY N° 848 MZA 317 LOTE 15 - 16, en el distrito de CALLERIA, provincia de CORONEL PORTILLO, departamento de UCAYALI|AGROAMAZONAS03@GMAIL.COM|945772400|ACTIVO|8/02/2024
130|20610552880|CONSORCIO NAJEYA|PRODUCTOS|UCAYALI|CORONEL PORTILLO|CALLERIA|250101|" CENTRO POBLADO PUCALLPA - OTROS (ESPECIFICAR) CERCADO - JIRON LETICIA N° 280, en el distrito de CALLERIA, provincia de CORONEL PORTILLO, departamento de UCAYALI"|"CORPNAJEYA@GMAIL.COM"|932951777|ACTIVO|8/02/2024
131|20611657081|CONSORCIO DELIGRAN|PRODUCTOS|UCAYALI|CORONEL PORTILLO|CALLERIA|250101|ASOCIACIÓN JULIO CESAR TELLO ET 2 - CALLE MARISCAL ANDRES AVELINO CACERES N° 1563, en el distrito de CAJAMARCA, provincia de CAJAMARCA|GRANINDUSTRIAALIMENTOS@GMAIL.COM|95716496|ACTIVO|8/02/2024
